City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
121,kristianstad,SE,56.0313,14.1524,60.35,65,0,13.8,clear sky,0.0,0.0
122,provideniya,RU,64.3833,-173.3,30.72,99,100,10.13,snow,0.0,1.07
123,verkhnyaya inta,RU,65.9811,60.3094,52.2,75,79,15.75,broken clouds,0.0,0.0
124,tuktoyaktuk,CA,69.4541,-133.0374,31.46,92,100,11.95,overcast clouds,0.0,0.0
125,bulgan,MN,48.8125,103.5347,63.34,37,100,10.16,overcast clouds,0.0,0.0
126,san rafael,AR,-34.6177,-68.3301,65.97,28,3,3.67,clear sky,0.0,0.0
127,newtownards,GB,54.5924,-5.6909,63.34,51,11,13.8,few clouds,0.0,0.0
128,omsukchan,RU,62.5333,155.8,12.65,96,24,4.16,few clouds,0.0,0.0
129,guerrero negro,MX,27.9769,-114.0611,58.37,83,11,12.12,few clouds,0.0,0.0
130,canakkale,TR,40.0833,26.8333,61.38,53,85,16.51,overcast clouds,0.0,0.0
131,terrace,CA,54.5163,-128.6035,40.42,95,100,2.19,overcast clouds,0.0,0.0
132,nemuro,JP,43.3236,145.575,43.39,71,9,7.9,clear sky,0.0,0.0
133,baghdad,IQ,33.3406,44.4009,85.05,15,6,12.48,clear sky,0.0,0.0
134,zyryanka,RU,65.75,150.85,28.09,85,42,9.82,scattered clouds,0.0,0.0
135,severo-kurilsk,RU,50.6789,156.125,38.59,94,100,15.52,overcast clouds,0.0,0.0
136,flin flon,CA,54.7682,-101.865,44.44,93,100,13.8,overcast clouds,0.0,0.0
137,gat,IL,31.61,34.7642,80.4,29,0,13.62,clear sky,0.0,0.0
138,husavik,IS,66.0449,-17.3389,43.14,80,100,4.41,overcast clouds,0.0,0.0
139,sitka,US,57.0531,-135.33,39.09,81,40,4.61,scattered clouds,0.0,0.0
140,carnarvon,AU,-24.8667,113.6333,71.67,83,2,8.05,clear sky,0.0,0.0
141,faanui,PF,-16.4833,-151.75,81.66,76,22,9.24,light rain,0.44,0.0
142,puerto boyaca,CO,5.9758,-74.5885,74.91,92,100,2.75,overcast clouds,0.0,0.0
