City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
435,buluang,PH,78.37,clear sky,13.3068,123.3425,Sacueza Beach Resort
436,yuci,CN,51.55,haze,37.6803,112.7319,Thank Inn Plus Hotel Shanxi Jinzhong Yuci District Yingbin West Street Yinhaixinyue
437,vestmannaeyjar,IS,50.99,broken clouds,63.4427,-20.2734,Glamping & Camping
438,loandjili,CG,81.32,broken clouds,-4.7561,11.8578,Résidence ARCHANGE
439,cilegon,ID,82.51,overcast clouds,-6.0174,106.0538,Forbis Hotel
440,juruti,BR,74.3,overcast clouds,-2.1522,-56.0922,Pousada Marupiara
441,satuk,TR,58.78,few clouds,41.2263,32.3836,TAŞ MEKAN CAFE TÜRKÜ EVİ
442,nizhniy kuranakh,RU,34.45,overcast clouds,58.8353,125.4869,Park Pobedy
443,hauterive,FR,72.36,broken clouds,46.0901,3.4459,Aletti Palace Hotel
444,gubkinskiy,RU,33.24,overcast clouds,64.434,76.5026,MonarcH
445,banda aceh,ID,82.42,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
446,kargat,RU,45.39,overcast clouds,55.1956,80.2811,Kargat
448,nicoya,CR,80.28,broken clouds,10.1483,-85.452,Las Cabinas Del Sueño
449,oskaloosa,US,59.41,clear sky,41.2964,-92.6444,EverSpring Inn & Suites
450,acapulco,MX,73.22,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
453,kilindoni,TZ,81.12,scattered clouds,-7.9139,39.6668,Bustani B&B
456,arnold,GB,65.5,broken clouds,53.0,-1.1333,Best Western Bestwood Lodge Hotel
462,terney,RU,41.97,scattered clouds,45.0503,136.6092,"Hotel ""Ternay"""
463,champerico,GT,77.54,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
464,watsa,CD,87.19,broken clouds,3.0372,29.5355,Hôtel Le Pacifique
467,pisco,PE,64.45,mist,-13.7,-76.2167,Hotel San Isidro Oficial
468,trairi,BR,76.96,overcast clouds,-3.2778,-39.2689,janelas do mar
469,port hardy,CA,41.79,overcast clouds,50.6996,-127.4199,Airport Inn-Port Hardy
470,mantua,IT,71.1,overcast clouds,45.1667,10.7833,Hotel la Favorita
471,pfullendorf,DE,61.25,overcast clouds,47.9167,9.25,Flair Hotel Adler
473,pakxan,LA,78.37,broken clouds,18.3778,103.6601,Kong Kham Pheng Guesthouse
475,wukari,NG,87.69,overcast clouds,7.85,9.7833,Elimtop
476,el transito,SV,82.11,overcast clouds,13.35,-88.35,Hotel Torola Bay View
478,altar,MX,67.87,clear sky,30.7,-111.8167,Hotel Maria Elena
479,bonthe,SL,78.44,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
